,Country,Year,Sex,Age,Cases
8545,BE,1996,Male,15-24,20.0
8546,BE,1997,Male,15-24,18.0
8547,BE,1998,Male,15-24,22.0
8548,BE,1999,Male,15-24,18.0
8562,BF,1998,Male,15-24,104.0
8563,BF,2003,Male,15-24,148.0
8564,BF,2004,Male,15-24,155.0
8565,BF,2005,Male,15-24,181.0
8566,BF,2006,Male,15-24,227.0
8567,BF,2008,Male,15-24,225.0
8582,BG,2003,Male,15-24,99.0
8583,BG,2004,Male,15-24,97.0
8598,BH,2001,Male,15-24,1.0
8599,BH,2002,Male,15-24,1.0
8600,BH,2003,Male,15-24,2.0
8601,BH,2006,Male,15-24,10.0
8615,BI,1999,Male,15-24,349.0
8617,BI,2001,Male,15-24,344.0
8618,BI,2002,Male,15-24,310.0
8619,BI,2005,Male,15-24,352.0
8620,BI,2006,Male,15-24,347.0
8621,BI,2007,Male,15-24,425.0
8622,BI,2008,Male,15-24,430.0
8636,BJ,1995,Male,15-24,186.0
8637,BJ,1996,Male,15-24,215.0
8638,BJ,1998,Male,15-24,233.0
8639,BJ,2000,Male,15-24,277.0
8641,BJ,2004,Male,15-24,308.0
8642,BJ,2005,Male,15-24,306.0
8643,BJ,2006,Male,15-24,298.0
8645,BJ,2008,Male,15-24,333.0
8686,BN,2000,Male,15-24,6.0
8687,BN,2002,Male,15-24,15.0
8688,BN,2003,Male,15-24,5.0
8689,BN,2004,Male,15-24,10.0
8690,BN,2005,Male,15-24,9.0
8704,BO,1996,Male,15-24,1359.0
8705,BO,1997,Male,15-24,1214.0
8706,BO,1999,Male,15-24,1182.0
8707,BO,2000,Male,15-24,1182.0
8708,BO,2001,Male,15-24,1235.0
8709,BO,2002,Male,15-24,1235.0
8710,BO,2003,Male,15-24,1164.0
8711,BO,2004,Male,15-24,1205.0
8712,BO,2005,Male,15-24,1320.0
8713,BO,2006,Male,15-24,1147.0
8714,BO,2008,Male,15-24,1253.0
8728,BR,2004,Male,15-24,5041.0
8729,BR,2005,Male,15-24,5074.0
8743,BS,1997,Male,15-24,2.0
8744,BS,2000,Male,15-24,2.0
8747,BS,2007,Male,15-24,3.0
8748,BS,2008,Male,15-24,2.0
8763,BT,1999,Male,15-24,27.0
8764,BT,2001,Male,15-24,51.0
8765,BT,2002,Male,15-24,54.0
8766,BT,2003,Male,15-24,62.0
8767,BT,2004,Male,15-24,54.0
8768,BT,2005,Male,15-24,47.0
8769,BT,2006,Male,15-24,65.0
8770,BT,2007,Male,15-24,60.0
8784,BW,2003,Male,15-24,203.0
8785,BW,2005,Male,15-24,260.0
8786,BW,2006,Male,15-24,262.0
8787,BW,2007,Male,15-24,251.0
8801,BY,2003,Male,15-24,67.0
8802,BY,2004,Male,15-24,84.0
8803,BY,2005,Male,15-24,71.0
8804,BY,2007,Male,15-24,57.0
8805,BY,2008,Male,15-24,44.0
8819,BZ,2000,Male,15-24,5.0
8821,BZ,2002,Male,15-24,7.0
8822,BZ,2003,Male,15-24,4.0
8823,BZ,2004,Male,15-24,4.0
8824,BZ,2005,Male,15-24,8.0
8825,CA,1980,Male,15-24,54.0
8826,CA,1981,Male,15-24,49.0
8827,CA,1982,Male,15-24,52.0
8828,CA,1983,Male,15-24,47.0
8829,CA,1984,Male,15-24,44.0
8830,CA,1985,Male,15-24,42.0
8831,CA,1986,Male,15-24,58.0
8832,CA,1987,Male,15-24,40.0
8833,CA,1988,Male,15-24,43.0
8834,CA,1989,Male,15-24,45.0
8835,CA,1990,Male,15-24,35.0
8836,CA,1991,Male,15-24,37.0
8837,CA,1992,Male,15-24,42.0
8838,CA,1993,Male,15-24,33.0
8839,CA,1994,Male,15-24,42.0
8840,CA,1995,Male,15-24,28.0
8841,CA,1996,Male,15-24,28.0
8842,CA,1997,Male,15-24,21.0
8843,CA,1998,Male,15-24,33.0
8844,CA,1999,Male,15-24,23.0
8845,CA,2000,Male,15-24,34.0
8846,CA,2001,Male,15-24,24.0
8847,CA,2002,Male,15-24,25.0
8848,CA,2003,Male,15-24,26.0
8849,CA,2004,Male,15-24,25.0
8864,CD,2004,Male,15-24,7007.0
8865,CD,2005,Male,15-24,6675.0
8866,CD,2007,Male,15-24,6485.0
8867,CD,2008,Male,15-24,6497.0
8880,CF,1995,Male,15-24,162.0
8881,CF,1998,Male,15-24,205.0
8882,CF,1999,Male,15-24,224.0
8884,CF,2001,Male,15-24,127.0
8885,CF,2002,Male,15-24,264.0
8886,CF,2004,Male,15-24,58.0
8887,CF,2005,Male,15-24,40.0
8889,CF,2008,Male,15-24,466.0
8904,CG,2007,Male,15-24,351.0
8905,CG,2008,Male,15-24,417.0
8919,CH,1995,Male,15-24,12.0
8920,CH,1996,Male,15-24,12.0
8921,CH,1997,Male,15-24,16.0
8922,CH,1998,Male,15-24,15.0
8923,CH,1999,Male,15-24,12.0
8938,CI,1995,Male,15-24,989.0
8939,CI,2006,Male,15-24,1467.0
8940,CI,2007,Male,15-24,1576.0
8941,CI,2008,Male,15-24,1764.0
8942,CK,1980,Male,15-24,2.0
8945,CK,1983,Male,15-24,2.0
8964,CK,2005,Male,15-24,1.0
8981,CL,1999,Male,15-24,118.0
8982,CL,2000,Male,15-24,81.0
8983,CL,2001,Male,15-24,78.0
8984,CL,2002,Male,15-24,87.0
8985,CL,2003,Male,15-24,77.0
8986,CL,2004,Male,15-24,87.0
9000,CM,1997,Male,15-24,321.0
9001,CM,1998,Male,15-24,651.0
9002,CM,1999,Male,15-24,602.0
9003,CM,2000,Male,15-24,518.0
9004,CM,2003,Male,15-24,1176.0
9005,CM,2004,Male,15-24,1312.0
9006,CM,2005,Male,15-24,1472.0
9007,CM,2006,Male,15-24,1401.0
9008,CM,2007,Male,15-24,1392.0
9020,CN,2002,Male,15-24,17933.0
9021,CN,2004,Male,15-24,35465.0
9022,CN,2005,Male,15-24,43005.0
9023,CN,2006,Male,15-24,44528.0
9024,CN,2007,Male,15-24,44011.0
9025,CN,2008,Male,15-24,45596.0
9039,CO,1999,Male,15-24,1730.0
9040,CO,2000,Male,15-24,763.0
9041,CO,2001,Male,15-24,1037.0
9042,CO,2003,Male,15-24,684.0
9043,CO,2004,Male,15-24,732.0
9044,CO,2005,Male,15-24,623.0
9045,CO,2006,Male,15-24,709.0
9046,CO,2007,Male,15-24,618.0
9047,CO,2008,Male,15-24,666.0
9062,CR,2001,Male,15-24,26.0
9063,CR,2002,Male,15-24,26.0
9064,CR,2003,Male,15-24,33.0
9065,CR,2004,Male,15-24,49.0
9066,CR,2005,Male,15-24,43.0
9080,CU,1995,Male,15-24,59.0
9081,CU,1996,Male,15-24,54.0
9082,CU,1997,Male,15-24,69.0
9083,CU,1999,Male,15-24,55.0
9084,CU,2000,Male,15-24,71.0
9085,CU,2001,Male,15-24,36.0
9086,CU,2002,Male,15-24,21.0
9087,CU,2003,Male,15-24,23.0
9088,CU,2005,Male,15-24,20.0
9089,CU,2006,Male,15-24,22.0
9101,CV,2004,Male,15-24,8.0
9102,CV,2005,Male,15-24,22.0
9103,CV,2007,Male,15-24,24.0
9104,CV,2008,Male,15-24,23.0
9122,CY,2002,Male,15-24,2.0
9123,CY,2003,Male,15-24,1.0
9124,CY,2004,Male,15-24,3.0
9126,CY,2007,Male,15-24,2.0
9127,CY,2008,Male,15-24,1.0
9141,CZ,1997,Male,15-24,5.0
9142,CZ,1998,Male,15-24,7.0
9143,CZ,1999,Male,15-24,13.0
9144,CZ,2001,Male,15-24,18.0
9145,CZ,2002,Male,15-24,14.0
9146,CZ,2003,Male,15-24,11.0
9147,CZ,2004,Male,15-24,10.0
9148,CZ,2005,Male,15-24,8.0
9149,CZ,2006,Male,15-24,6.0
9150,CZ,2007,Male,15-24,14.0
9151,CZ,2008,Male,15-24,7.0
9165,DE,1995,Male,15-24,179.0
9166,DE,1997,Male,15-24,166.0
9167,DE,1998,Male,15-24,179.0
9168,DE,1999,Male,15-24,145.0
9182,DJ,2001,Male,15-24,267.0
9183,DJ,2002,Male,15-24,256.0
9184,DJ,2004,Male,15-24,217.0
9185,DJ,2005,Male,15-24,220.0
9186,DJ,2006,Male,15-24,225.0
9187,DJ,2008,Male,15-24,232.0
9201,DK,1995,Male,15-24,7.0
9202,DK,1996,Male,15-24,4.0
9203,DK,1997,Male,15-24,11.0
9204,DK,1998,Male,15-24,7.0
9205,DK,2000,Male,15-24,10.0
9206,DK,2002,Male,15-24,11.0
9207,DK,2003,Male,15-24,11.0
9208,DK,2004,Male,15-24,6.0
9244,DO,2000,Male,15-24,410.0
9245,DO,2002,Male,15-24,295.0
9246,DO,2003,Male,15-24,364.0
9247,DO,2004,Male,15-24,391.0
9248,DO,2005,Male,15-24,399.0
9249,DO,2006,Male,15-24,342.0
9250,DO,2007,Male,15-24,290.0
9264,DZ,2001,Male,15-24,1345.0
9265,DZ,2002,Male,15-24,1364.0
9266,DZ,2005,Male,15-24,1309.0
9267,DZ,2007,Male,15-24,1388.0
9281,EC,2001,Male,15-24,673.0
9282,EC,2004,Male,15-24,732.0
9283,EC,2005,Male,15-24,446.0
9284,EC,2006,Male,15-24,479.0
9285,EC,2007,Male,15-24,555.0
9286,EC,2008,Male,15-24,507.0
9300,EE,1996,Male,15-24,7.0
9301,EE,1998,Male,15-24,15.0
9302,EE,1999,Male,15-24,14.0
9303,EE,2000,Male,15-24,6.0
9304,EE,2001,Male,15-24,10.0
9305,EE,2002,Male,15-24,9.0
9306,EE,2003,Male,15-24,7.0
9307,EE,2004,Male,15-24,6.0
9308,EE,2005,Male,15-24,9.0
9309,EE,2006,Male,15-24,4.0
9310,EE,2008,Male,15-24,3.0
9325,EG,2001,Male,15-24,586.0
9332,ER,2001,Male,15-24,79.0
9333,ER,2002,Male,15-24,85.0
9334,ER,2003,Male,15-24,90.0
9335,ER,2005,Male,15-24,68.0
9336,ER,2006,Male,15-24,50.0
9368,ET,2000,Male,15-24,5095.0
9369,ET,2001,Male,15-24,5730.0
9370,ET,2002,Male,15-24,6764.0
9371,ET,2003,Male,15-24,6923.0
9372,ET,2004,Male,15-24,7167.0
9373,ET,2005,Male,15-24,6726.0
9374,ET,2006,Male,15-24,6137.0
9375,ET,2007,Male,15-24,6522.0
9376,ET,2008,Male,15-24,6512.0
9392,FI,1995,Male,15-24,1.0
9393,FI,1996,Male,15-24,2.0
9394,FI,1997,Male,15-24,1.0
9395,FI,1998,Male,15-24,4.0
9397,FI,2006,Male,15-24,5.0
9398,FI,2007,Male,15-24,4.0
9399,FI,2008,Male,15-24,3.0
9404,FJ,1994,Male,15-24,8.0
9405,FJ,1995,Male,15-24,8.0
9406,FJ,1996,Male,15-24,8.0
9407,FJ,1997,Male,15-24,4.0
9408,FJ,1998,Male,15-24,7.0
9409,FJ,1999,Male,15-24,13.0
9410,FJ,2000,Male,15-24,8.0
9411,FJ,2002,Male,15-24,13.0
9412,FJ,2003,Male,15-24,8.0
9413,FJ,2004,Male,15-24,8.0
9414,FJ,2008,Male,15-24,10.0
9429,FM,2000,Male,15-24,2.0
9430,FM,2001,Male,15-24,2.0
9431,FM,2007,Male,15-24,8.0
9445,FR,1995,Male,15-24,156.0
9461,GA,1995,Male,15-24,45.0
9462,GA,2002,Male,15-24,137.0
9463,GA,2003,Male,15-24,165.0
9464,GA,2004,Male,15-24,197.0
9465,GA,2005,Male,15-24,123.0
9466,GA,2006,Male,15-24,157.0
9481,GB,1998,Male,15-24,103.0
9497,GD,1998,Male,15-24,1.0
9505,GD,2008,Male,15-24,1.0
9519,GE,1995,Male,15-24,20.0
9520,GE,1997,Male,15-24,75.0
9521,GE,1998,Male,15-24,64.0
9522,GE,1999,Male,15-24,135.0
9523,GE,2001,Male,15-24,142.0
9524,GE,2004,Male,15-24,157.0
9539,GH,1995,Male,15-24,223.0
9540,GH,2000,Male,15-24,550.0
9541,GH,2001,Male,15-24,587.0
9542,GH,2002,Male,15-24,535.0
9543,GH,2003,Male,15-24,579.0
9544,GH,2004,Male,15-24,532.0
9545,GH,2005,Male,15-24,592.0
9546,GH,2006,Male,15-24,557.0
9547,GH,2007,Male,15-24,596.0
9551,GM,1997,Male,15-24,83.0
9553,GM,2002,Male,15-24,135.0
9554,GM,2005,Male,15-24,133.0
9567,GN,1995,Male,15-24,244.0
9568,GN,1996,Male,15-24,319.0
9569,GN,1997,Male,15-24,326.0
9570,GN,1998,Male,15-24,409.0
9571,GN,2000,Male,15-24,551.0
9572,GN,2001,Male,15-24,506.0
9573,GN,2003,Male,15-24,617.0
9574,GN,2004,Male,15-24,728.0
9575,GN,2005,Male,15-24,749.0
9576,GN,2006,Male,15-24,834.0
9577,GN,2008,Male,15-24,970.0
9589,GQ,1997,Male,15-24,32.0
9590,GQ,1998,Male,15-24,30.0
9592,GQ,2004,Male,15-24,50.0
9595,GQ,2008,Male,15-24,68.0
9611,GR,2006,Male,15-24,11.0
9612,GR,2007,Male,15-24,21.0
9613,GR,2008,Male,15-24,5.0
9627,GT,1995,Male,15-24,235.0
9628,GT,1997,Male,15-24,246.0
9629,GT,1998,Male,15-24,206.0
9630,GT,1999,Male,15-24,216.0
9631,GT,2000,Male,15-24,220.0
9632,GT,2001,Male,15-24,171.0
9633,GT,2002,Male,15-24,217.0
9634,GT,2003,Male,15-24,175.0
9635,GT,2004,Male,15-24,282.0
9636,GT,2005,Male,15-24,251.0
9651,GU,2005,Male,15-24,2.0
9652,GU,2006,Male,15-24,1.0
9670,GW,1996,Male,15-24,110.0
9671,GW,2000,Male,15-24,52.0
9673,GW,2002,Male,15-24,101.0
9674,GW,2003,Male,15-24,101.0
9675,GW,2004,Male,15-24,86.0
9676,GW,2005,Male,15-24,116.0
9677,GW,2006,Male,15-24,86.0
9679,GW,2008,Male,15-24,119.0
9693,GY,1996,Male,15-24,8.0
9694,GY,1997,Male,15-24,15.0
9695,GY,2000,Male,15-24,20.0
9696,GY,2001,Male,15-24,15.0
9697,GY,2007,Male,15-24,15.0
9713,HK,2000,Male,15-24,78.0
9714,HK,2001,Male,15-24,79.0
9715,HK,2002,Male,15-24,99.0
9716,HK,2003,Male,15-24,104.0
9730,HN,1998,Male,15-24,277.0
9731,HN,2005,Male,15-24,238.0
9747,HR,1995,Male,15-24,38.0
9748,HR,1997,Male,15-24,65.0
9749,HR,1998,Male,15-24,48.0
9751,HR,2003,Male,15-24,15.0
9752,HR,2004,Male,15-24,18.0
9765,HT,1998,Male,15-24,804.0
9766,HT,1999,Male,15-24,812.0
9767,HT,2000,Male,15-24,836.0
9768,HT,2001,Male,15-24,752.0
9769,HT,2002,Male,15-24,903.0
9770,HT,2003,Male,15-24,1002.0
9771,HT,2004,Male,15-24,918.0
9772,HT,2005,Male,15-24,1045.0
9773,HT,2006,Male,15-24,1110.0
9787,HU,1996,Male,15-24,28.0
9788,HU,1997,Male,15-24,8.0
9789,HU,1998,Male,15-24,14.0
9790,HU,1999,Male,15-24,16.0
9791,HU,2000,Male,15-24,8.0
9792,HU,2008,Male,15-24,12.0
9805,ID,1998,Male,15-24,2732.0
9806,ID,1999,Male,15-24,3741.0
9807,ID,2001,Male,15-24,5400.0
9808,ID,2002,Male,15-24,7826.0
9809,ID,2003,Male,15-24,9570.0
9810,ID,2004,Male,15-24,12546.0
9811,ID,2005,Male,15-24,15215.0
9812,ID,2006,Male,15-24,16285.0
9829,IE,2006,Male,15-24,8.0
9844,IL,1996,Male,15-24,5.0
9845,IL,1998,Male,15-24,20.0
9846,IL,1999,Male,15-24,13.0
9847,IL,2001,Male,15-24,7.0
9848,IL,2002,Male,15-24,7.0
9849,IL,2003,Male,15-24,9.0
9850,IL,2004,Male,15-24,2.0
9851,IL,2006,Male,15-24,3.0
9865,IN,2007,Male,15-24,73947.0
9874,IQ,2001,Male,15-24,722.0
9875,IQ,2002,Male,15-24,706.0
9876,IQ,2004,Male,15-24,615.0
9877,IQ,2005,Male,15-24,424.0
9892,IR,2001,Male,15-24,469.0
9893,IR,2002,Male,15-24,457.0
9894,IR,2003,Male,15-24,413.0
9895,IR,2005,Male,15-24,352.0
9915,IS,2001,Male,15-24,1.0
9916,IS,2002,Male,15-24,1.0
9949,JM,2000,Male,15-24,6.0
9950,JM,2001,Male,15-24,10.0
9951,JM,2002,Male,15-24,9.0
9952,JM,2003,Male,15-24,11.0
9953,JM,2004,Male,15-24,9.0
9954,JM,2005,Male,15-24,4.0
9955,JM,2006,Male,15-24,9.0
9969,JO,1996,Male,15-24,22.0
9970,JO,1997,Male,15-24,14.0
9971,JO,1998,Male,15-24,22.0
9972,JO,1999,Male,15-24,16.0
9973,JO,2000,Male,15-24,8.0
9974,JO,2001,Male,15-24,7.0
9975,JO,2002,Male,15-24,8.0
9976,JO,2003,Male,15-24,19.0
9977,JO,2004,Male,15-24,8.0
9978,JO,2005,Male,15-24,8.0
9979,JO,2006,Male,15-24,9.0
9980,JO,2007,Male,15-24,7.0
9981,JO,2008,Male,15-24,13.0
9995,JP,1995,Male,15-24,342.0
9996,JP,1996,Male,15-24,309.0
9997,JP,1997,Male,15-24,304.0
9998,JP,1998,Male,15-24,306.0
9999,JP,1999,Male,15-24,290.0
10000,JP,2000,Male,15-24,246.0
10001,JP,2001,Male,15-24,220.0
10002,JP,2002,Male,15-24,191.0
10003,JP,2003,Male,15-24,210.0
10004,JP,2004,Male,15-24,193.0
10005,JP,2005,Male,15-24,197.0
10011,KE,1995,Male,15-24,2072.0
10012,KE,1996,Male,15-24,2492.0
10013,KE,1998,Male,15-24,3372.0
10014,KE,1999,Male,15-24,3835.0
10015,KE,2000,Male,15-24,3739.0
10016,KE,2001,Male,15-24,4083.0
10017,KE,2003,Male,15-24,4918.0
10018,KE,2005,Male,15-24,4790.0
10019,KE,2006,Male,15-24,4708.0
10034,KG,1995,Male,15-24,109.0
10035,KG,1998,Male,15-24,105.0
10036,KG,1999,Male,15-24,216.0
10037,KG,2004,Male,15-24,221.0
10052,KH,1996,Male,15-24,32.0
10053,KH,1999,Male,15-24,525.0
10054,KH,2001,Male,15-24,600.0
10055,KH,2002,Male,15-24,791.0
10056,KH,2003,Male,15-24,805.0
10057,KH,2004,Male,15-24,850.0
10058,KH,2005,Male,15-24,894.0
10059,KH,2006,Male,15-24,791.0
10060,KH,2007,Male,15-24,883.0
10061,KH,2008,Male,15-24,920.0
10076,KI,1999,Male,15-24,6.0
10077,KI,2000,Male,15-24,9.0
10078,KI,2001,Male,15-24,10.0
10079,KI,2002,Male,15-24,11.0
10080,KI,2003,Male,15-24,13.0
10081,KI,2004,Male,15-24,17.0
10082,KI,2005,Male,15-24,15.0
10090,KM,1995,Male,15-24,18.0
10091,KM,2000,Male,15-24,18.0
10092,KM,2001,Male,15-24,15.0
10093,KM,2002,Male,15-24,10.0
10094,KM,2003,Male,15-24,7.0
10095,KM,2005,Male,15-24,12.0
10118,KN,2007,Male,15-24,1.0
10122,KP,1997,Male,15-24,375.0
10123,KP,2000,Male,15-24,928.0
10124,KP,2002,Male,15-24,1444.0
10125,KP,2003,Male,15-24,1154.0
10126,KP,2004,Male,15-24,1284.0
10127,KP,2006,Male,15-24,1498.0
10128,KP,2007,Male,15-24,1947.0
10142,KR,1995,Male,15-24,1131.0
10143,KR,1996,Male,15-24,1150.0
10144,KR,1997,Male,15-24,935.0
10145,KR,1998,Male,15-24,977.0
10146,KR,1999,Male,15-24,884.0
10147,KR,2000,Male,15-24,821.0
10148,KR,2001,Male,15-24,942.0
10149,KR,2002,Male,15-24,806.0
10150,KR,2003,Male,15-24,732.0
10151,KR,2004,Male,15-24,709.0
10152,KR,2005,Male,15-24,687.0
10166,KW,1995,Male,15-24,15.0
10167,KW,1996,Male,15-24,11.0
10168,KW,1997,Male,15-24,23.0
10169,KW,1998,Male,15-24,14.0
10170,KW,1999,Male,15-24,18.0
10171,KW,2000,Male,15-24,10.0
10172,KW,2001,Male,15-24,13.0
10173,KW,2002,Male,15-24,14.0
10174,KW,2003,Male,15-24,14.0
10175,KW,2005,Male,15-24,12.0
10176,KW,2006,Male,15-24,19.0
10219,KZ,1998,Male,15-24,795.0
10220,KZ,2000,Male,15-24,1057.0
10221,KZ,2001,Male,15-24,1038.0
10222,KZ,2002,Male,15-24,1067.0
10223,KZ,2004,Male,15-24,989.0
10224,KZ,2006,Male,15-24,888.0
10239,LA,1996,Male,15-24,42.0
10240,LA,1997,Male,15-24,61.0
10241,LA,1998,Male,15-24,77.0
10242,LA,1999,Male,15-24,91.0
10243,LA,2000,Male,15-24,92.0
10244,LA,2001,Male,15-24,81.0
10245,LA,2002,Male,15-24,86.0
10246,LA,2003,Male,15-24,91.0
10247,LA,2004,Male,15-24,120.0
10248,LA,2005,Male,15-24,136.0
10249,LA,2006,Male,15-24,145.0
10250,LA,2008,Male,15-24,159.0
10260,LB,1995,Male,15-24,26.0
10261,LB,1996,Male,15-24,28.0
10262,LB,1999,Male,15-24,27.0
10263,LB,2000,Male,15-24,16.0
10264,LB,2002,Male,15-24,19.0
10265,LB,2003,Male,15-24,19.0
10266,LB,2004,Male,15-24,11.0
10267,LB,2005,Male,15-24,12.0
10281,LC,1999,Male,15-24,1.0
10283,LC,2001,Male,15-24,1.0
10291,LK,1996,Male,15-24,163.0
10292,LK,1997,Male,15-24,215.0
10293,LK,2002,Male,15-24,287.0
10294,LK,2003,Male,15-24,311.0
10295,LK,2004,Male,15-24,358.0
10296,LK,2006,Male,15-24,342.0
10307,LR,1996,Male,15-24,69.0
10309,LR,1998,Male,15-24,150.0
10311,LR,2000,Male,15-24,133.0
10312,LR,2001,Male,15-24,111.0
10313,LR,2003,Male,15-24,180.0
10314,LR,2004,Male,15-24,333.0
10315,LR,2005,Male,15-24,240.0
10316,LR,2006,Male,15-24,324.0
10331,LS,1995,Male,15-24,108.0
10332,LS,1996,Male,15-24,123.0
10333,LS,1997,Male,15-24,180.0
10334,LS,1998,Male,15-24,190.0
10336,LS,2004,Male,15-24,286.0
10337,LS,2005,Male,15-24,395.0
10338,LS,2006,Male,15-24,228.0
10353,LT,1997,Male,15-24,53.0
10354,LT,1998,Male,15-24,38.0
10355,LT,2000,Male,15-24,38.0
10356,LT,2001,Male,15-24,35.0
10357,LT,2006,Male,15-24,38.0
10358,LT,2007,Male,15-24,31.0
10375,LU,1996,Male,15-24,5.0
10376,LU,1997,Male,15-24,2.0
10379,LU,2004,Male,15-24,1.0
10396,LV,1995,Male,15-24,20.0
10397,LV,1996,Male,15-24,28.0
10398,LV,1997,Male,15-24,47.0
10399,LV,1998,Male,15-24,58.0
10400,LV,1999,Male,15-24,48.0
10401,LV,2000,Male,15-24,53.0
10402,LV,2001,Male,15-24,48.0
10403,LV,2002,Male,15-24,32.0
10404,LV,2003,Male,15-24,36.0
10405,LV,2004,Male,15-24,30.0
10406,LV,2008,Male,15-24,28.0
10421,LY,1996,Male,15-24,93.0
10423,LY,2003,Male,15-24,108.0
10424,LY,2004,Male,15-24,113.0
10425,LY,2005,Male,15-24,114.0
10426,LY,2006,Male,15-24,98.0
10442,MA,1995,Male,15-24,2508.0
10443,MA,1996,Male,15-24,2618.0
10444,MA,1997,Male,15-24,2328.0
10445,MA,1998,Male,15-24,2308.0
10446,MA,1999,Male,15-24,2296.0
10447,MA,2000,Male,15-24,2061.0
10448,MA,2001,Male,15-24,2200.0
10449,MA,2002,Male,15-24,2190.0
10450,MA,2003,Male,15-24,2225.0
10451,MA,2004,Male,15-24,2081.0
10452,MA,2005,Male,15-24,2222.0
10491,MD,1995,Male,15-24,55.0
10492,MD,1996,Male,15-24,26.0
10493,MD,1997,Male,15-24,51.0
10494,MD,1998,Male,15-24,72.0
10495,MD,1999,Male,15-24,89.0
10496,MD,2001,Male,15-24,152.0
10497,MD,2002,Male,15-24,159.0
10498,MD,2003,Male,15-24,152.0
10499,MD,2004,Male,15-24,210.0
10500,MD,2006,Male,15-24,175.0
10501,ME,2005,Male,15-24,3.0
10504,ME,2008,Male,15-24,2.0
10518,MG,1995,Male,15-24,791.0
10521,MG,2001,Male,15-24,1033.0
10522,MG,2006,Male,15-24,1500.0
10536,MH,1998,Male,15-24,2.0
10537,MH,2002,Male,15-24,1.0
10538,MH,2004,Male,15-24,5.0
10539,MH,2005,Male,15-24,4.0
10540,MH,2006,Male,15-24,4.0
10541,MH,2008,Male,15-24,1.0
10545,MK,1995,Male,15-24,15.0
10546,MK,1997,Male,15-24,8.0
10547,MK,1999,Male,15-24,11.0
10548,MK,2000,Male,15-24,8.0
10549,MK,2001,Male,15-24,10.0
10550,MK,2002,Male,15-24,20.0
10551,MK,2003,Male,15-24,20.0
10552,MK,2004,Male,15-24,12.0
10567,ML,1995,Male,15-24,72.0
10568,ML,1996,Male,15-24,182.0
10569,ML,1999,Male,15-24,235.0
10570,ML,2000,Male,15-24,206.0
10572,ML,2002,Male,15-24,209.0
10573,ML,2003,Male,15-24,348.0
10574,ML,2004,Male,15-24,302.0
10575,ML,2005,Male,15-24,350.0
10576,ML,2006,Male,15-24,361.0
10577,ML,2007,Male,15-24,369.0
10592,MM,1996,Male,15-24,767.0
10593,MM,1998,Male,15-24,798.0
10594,MM,1999,Male,15-24,936.0
10595,MM,2000,Male,15-24,1459.0
10596,MM,2002,Male,15-24,2125.0
10597,MM,2003,Male,15-24,2536.0
10598,MM,2004,Male,15-24,2777.0
