,iso2,year,new_sp,new_sp_m04,new_sp_m514,new_sp_m1524,new_sp_m2534,new_sp_m3544,new_sp_m4554,new_sp_m5564,new_sp_m65,new_sp_mu,new_sp_f04,new_sp_f514,new_sp_f1524,new_sp_f2534,new_sp_f3544,new_sp_f4554,new_sp_f5564,new_sp_f65,new_sp_fu
44,AE,2008,50.0,0.0,0.0,6.0,1.0,7.0,5.0,3.0,6.0,0.0,0.0,0.0,10.0,4.0,1.0,1.0,3.0,3.0,0.0
61,AF,2001,4639.0,0.0,0.0,379.0,349.0,274.0,204.0,139.0,103.0,0.0,0.0,0.0,799.0,888.0,586.0,375.0,179.0,89.0,0.0
62,AF,2002,6509.0,0.0,0.0,476.0,481.0,368.0,246.0,241.0,189.0,0.0,0.0,0.0,1119.0,1251.0,792.0,526.0,320.0,218.0,0.0
65,AF,2005,9949.0,0.0,0.0,606.0,560.0,472.0,453.0,470.0,419.0,0.0,0.0,0.0,1651.0,1959.0,1302.0,869.0,471.0,246.0,0.0
67,AF,2007,13213.0,0.0,0.0,856.0,840.0,597.0,566.0,630.0,507.0,0.0,0.0,0.0,2224.0,2357.0,1708.0,1143.0,771.0,353.0,0.0
68,AF,2008,13136.0,0.0,0.0,941.0,773.0,545.0,570.0,630.0,575.0,0.0,0.0,0.0,2094.0,2449.0,1614.0,1149.0,817.0,364.0,0.0
83,AG,1996,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
88,AG,2001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90,AG,2003,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,AG,2005,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
94,AG,2007,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,AG,2008,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,AL,1995,139.0,0.0,0.0,0.0,0.0,0.0,19.0,40.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,20.0,16.0,0.0
133,AL,1997,241.0,0.0,0.0,23.0,43.0,33.0,25.0,21.0,19.0,0.0,0.0,0.0,16.0,19.0,14.0,9.0,10.0,8.0,0.0
134,AL,1998,212.0,0.0,0.0,17.0,21.0,24.0,18.0,26.0,24.0,0.0,0.0,0.0,19.0,11.0,12.0,13.0,11.0,13.0,0.0
135,AL,1999,168.0,0.0,0.0,13.0,23.0,25.0,19.0,15.0,15.0,0.0,0.0,0.0,5.0,13.0,11.0,5.0,8.0,16.0,0.0
136,AL,2000,171.0,0.0,0.0,19.0,21.0,14.0,24.0,19.0,16.0,0.0,0.0,0.0,11.0,10.0,8.0,8.0,5.0,11.0,0.0
137,AL,2001,171.0,0.0,0.0,13.0,18.0,17.0,19.0,20.0,30.0,0.0,0.0,0.0,12.0,10.0,5.0,7.0,7.0,9.0,0.0
138,AL,2002,225.0,0.0,0.0,21.0,27.0,29.0,19.0,23.0,25.0,0.0,0.0,0.0,20.0,19.0,9.0,6.0,8.0,17.0,0.0
139,AL,2003,211.0,0.0,0.0,28.0,19.0,32.0,16.0,22.0,19.0,0.0,0.0,0.0,13.0,8.0,6.0,14.0,12.0,20.0,0.0
140,AL,2004,201.0,0.0,0.0,12.0,19.0,21.0,24.0,23.0,20.0,0.0,0.0,0.0,12.0,12.0,8.0,11.0,10.0,22.0,0.0
141,AL,2005,196.0,0.0,0.0,26.0,21.0,16.0,31.0,20.0,37.0,0.0,0.0,0.0,3.0,9.0,5.0,5.0,5.0,18.0,0.0
161,AM,1996,327.0,0.0,0.0,53.0,100.0,51.0,43.0,30.0,7.0,0.0,0.0,0.0,9.0,11.0,9.0,8.0,4.0,0.0,0.0
162,AM,1997,400.0,0.0,0.0,85.0,59.0,77.0,51.0,34.0,12.0,0.0,0.0,0.0,16.0,22.0,17.0,7.0,14.0,1.0,0.0
163,AM,1998,475.0,0.0,0.0,159.0,90.0,79.0,39.0,17.0,15.0,0.0,0.0,0.0,21.0,20.0,11.0,10.0,5.0,6.0,0.0
164,AM,1999,576.0,0.0,0.0,151.0,88.0,115.0,76.0,37.0,20.0,0.0,0.0,0.0,22.0,15.0,20.0,6.0,9.0,7.0,0.0
165,AM,2000,621.0,0.0,0.0,152.0,130.0,131.0,63.0,26.0,21.0,0.0,0.0,0.0,24.0,27.0,24.0,8.0,8.0,4.0,0.0
166,AM,2001,572.0,0.0,0.0,154.0,120.0,93.0,54.0,24.0,9.0,0.0,0.0,0.0,40.0,31.0,22.0,10.0,7.0,5.0,0.0
167,AM,2002,511.0,0.0,0.0,95.0,63.0,109.0,93.0,21.0,14.0,0.0,0.0,0.0,16.0,24.0,32.0,36.0,4.0,1.0,0.0
168,AM,2003,575.0,0.0,0.0,120.0,98.0,75.0,104.0,49.0,18.0,0.0,0.0,0.0,29.0,31.0,13.0,12.0,9.0,3.0,0.0
203,AO,1996,8016.0,0.0,0.0,1036.0,926.0,1027.0,469.0,272.0,169.0,0.0,0.0,0.0,1066.0,963.0,615.0,370.0,242.0,113.0,0.0
210,AO,2003,18971.0,0.0,0.0,2355.0,2598.0,1908.0,1090.0,512.0,361.0,0.0,0.0,0.0,3078.0,2641.0,1747.0,1157.0,395.0,129.0,0.0
212,AO,2005,20410.0,0.0,0.0,2549.0,2797.0,1918.0,1255.0,665.0,461.0,0.0,0.0,0.0,2926.0,2682.0,1797.0,1138.0,581.0,417.0,0.0
213,AO,2006,21499.0,0.0,0.0,2632.0,3049.0,2182.0,1397.0,729.0,428.0,0.0,0.0,0.0,2851.0,2892.0,1990.0,1223.0,583.0,314.0,0.0
214,AO,2007,21422.0,0.0,0.0,2824.0,3197.0,2255.0,1357.0,699.0,465.0,0.0,0.0,0.0,2943.0,2721.0,1812.0,1041.0,554.0,367.0,0.0
215,AO,2008,22562.0,0.0,0.0,2970.0,3493.0,2418.0,1480.0,733.0,420.0,0.0,0.0,0.0,3199.0,2786.0,2082.0,1209.0,556.0,337.0,0.0
232,AR,1996,5787.0,0.0,0.0,611.0,535.0,338.0,276.0,230.0,286.0,0.0,0.0,0.0,643.0,591.0,528.0,546.0,520.0,463.0,0.0
262,AS,1997,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
266,AS,2001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
267,AS,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,AS,2003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
270,AS,2005,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
271,AS,2006,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
293,AT,1999,323.0,0.0,0.0,13.0,40.0,54.0,52.0,37.0,49.0,0.0,0.0,0.0,10.0,16.0,18.0,6.0,2.0,26.0,0.0
323,AU,2000,251.0,0.0,0.0,16.0,35.0,25.0,24.0,19.0,49.0,0.0,0.0,0.0,15.0,19.0,12.0,15.0,5.0,14.0,0.0
324,AU,2001,228.0,0.0,0.0,23.0,20.0,18.0,18.0,13.0,35.0,0.0,0.0,0.0,21.0,27.0,16.0,7.0,8.0,20.0,0.0
326,AU,2003,113.0,0.0,0.0,14.0,10.0,2.0,11.0,5.0,30.0,0.0,0.0,0.0,9.0,13.0,3.0,5.0,4.0,7.0,0.0
351,AZ,1999,763.0,0.0,0.0,96.0,46.0,217.0,184.0,49.0,0.0,0.0,0.0,0.0,4.0,17.0,73.0,58.0,19.0,0.0,0.0
354,AZ,2002,1661.0,0.0,0.0,290.0,433.0,359.0,190.0,72.0,16.0,0.0,0.0,0.0,48.0,88.0,80.0,34.0,19.0,21.0,0.0
355,AZ,2003,1161.0,0.0,0.0,212.0,258.0,215.0,113.0,66.0,20.0,0.0,0.0,0.0,72.0,60.0,62.0,48.0,26.0,5.0,0.0
356,AZ,2004,1472.0,0.0,0.0,248.0,311.0,222.0,167.0,92.0,83.0,0.0,0.0,0.0,120.0,65.0,57.0,34.0,33.0,24.0,0.0
376,BA,1995,865.0,0.0,0.0,15.0,61.0,90.0,140.0,139.0,100.0,0.0,0.0,0.0,40.0,67.0,64.0,49.0,77.0,23.0,0.0
379,BA,1998,640.0,0.0,0.0,28.0,75.0,85.0,75.0,55.0,75.0,0.0,0.0,0.0,37.0,42.0,27.0,22.0,30.0,85.0,0.0
383,BA,2002,526.0,0.0,0.0,36.0,48.0,70.0,69.0,33.0,63.0,0.0,0.0,0.0,22.0,33.0,18.0,19.0,31.0,81.0,0.0
384,BA,2003,493.0,0.0,0.0,32.0,42.0,49.0,52.0,45.0,50.0,0.0,0.0,0.0,27.0,37.0,34.0,14.0,30.0,73.0,0.0
387,BA,2006,562.0,0.0,0.0,40.0,58.0,47.0,53.0,42.0,66.0,2.0,0.0,0.0,41.0,50.0,24.0,29.0,20.0,88.0,2.0
404,BB,1996,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,BB,2000,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
409,BB,2001,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
410,BB,2002,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
414,BB,2006,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
415,BB,2007,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
416,BB,2008,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,BD,2003,53618.0,0.0,0.0,5166.0,7275.0,8058.0,6947.0,5501.0,4142.0,0.0,0.0,0.0,4298.0,4282.0,3258.0,2086.0,1150.0,591.0,0.0
442,BD,2005,84848.0,0.0,0.0,8170.0,10443.0,11423.0,11038.0,8476.0,7453.0,0.0,0.0,0.0,6776.0,6785.0,5538.0,3960.0,2281.0,1230.0,0.0
443,BD,2006,101967.0,0.0,0.0,9937.0,12166.0,12889.0,13378.0,10283.0,9513.0,0.0,0.0,0.0,8164.0,8048.0,6395.0,5020.0,2982.0,1735.0,0.0
444,BD,2007,104296.0,0.0,0.0,10210.0,12442.0,13003.0,13307.0,10653.0,9830.0,0.0,0.0,0.0,8562.0,8164.0,6678.0,5220.0,3057.0,1818.0,0.0
445,BD,2008,106373.0,0.0,0.0,10618.0,12926.0,12761.0,13355.0,10772.0,10386.0,0.0,0.0,0.0,9189.0,8389.0,6465.0,5206.0,3173.0,1947.0,0.0
462,BE,1996,364.0,0.0,0.0,20.0,43.0,49.0,45.0,32.0,59.0,0.0,0.0,0.0,9.0,30.0,25.0,11.0,10.0,26.0,0.0
463,BE,1997,434.0,0.0,0.0,18.0,45.0,56.0,43.0,41.0,115.0,0.0,0.0,0.0,11.0,26.0,22.0,13.0,11.0,28.0,0.0
464,BE,1998,418.0,0.0,0.0,22.0,50.0,58.0,48.0,36.0,78.0,0.0,0.0,0.0,6.0,30.0,20.0,17.0,13.0,35.0,0.0
465,BE,1999,403.0,0.0,0.0,18.0,40.0,49.0,46.0,38.0,83.0,0.0,0.0,0.0,20.0,38.0,19.0,22.0,8.0,16.0,0.0
492,BF,1998,1331.0,0.0,0.0,104.0,270.0,236.0,159.0,89.0,65.0,0.0,0.0,0.0,83.0,98.0,86.0,82.0,32.0,14.0,0.0
497,BF,2003,1703.0,0.0,0.0,148.0,313.0,321.0,162.0,129.0,80.0,0.0,0.0,0.0,102.0,131.0,132.0,70.0,46.0,36.0,0.0
498,BF,2004,1926.0,0.0,0.0,155.0,375.0,308.0,204.0,138.0,102.0,0.0,0.0,0.0,109.0,196.0,148.0,72.0,54.0,33.0,0.0
499,BF,2005,2294.0,0.0,0.0,181.0,430.0,370.0,273.0,144.0,113.0,0.0,0.0,0.0,125.0,248.0,174.0,109.0,54.0,40.0,0.0
500,BF,2006,2659.0,0.0,0.0,227.0,473.0,433.0,307.0,183.0,140.0,0.0,0.0,0.0,155.0,252.0,198.0,99.0,99.0,47.0,0.0
502,BF,2008,2756.0,0.0,0.0,225.0,555.0,448.0,314.0,174.0,146.0,0.0,0.0,0.0,143.0,250.0,180.0,116.0,107.0,57.0,0.0
526,BG,2003,1254.0,0.0,0.0,99.0,169.0,178.0,200.0,121.0,89.0,0.0,0.0,0.0,85.0,106.0,63.0,44.0,32.0,58.0,0.0
527,BG,2004,1315.0,0.0,0.0,97.0,156.0,166.0,204.0,153.0,111.0,0.0,0.0,0.0,84.0,111.0,64.0,49.0,35.0,71.0,0.0
551,BH,2000,23.0,0.0,0.0,0.0,3.0,2.0,5.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0
552,BH,2001,23.0,0.0,0.0,1.0,2.0,2.0,6.0,1.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
553,BH,2002,17.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
554,BH,2003,16.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
557,BH,2006,98.0,0.0,0.0,10.0,25.0,11.0,18.0,1.0,1.0,0.0,0.0,0.0,7.0,14.0,4.0,5.0,2.0,0.0,0.0
579,BI,1999,2924.0,0.0,0.0,349.0,566.0,492.0,281.0,102.0,57.0,0.0,0.0,0.0,291.0,253.0,236.0,109.0,30.0,28.0,0.0
581,BI,2001,3040.0,0.0,0.0,344.0,559.0,469.0,238.0,75.0,39.0,0.0,0.0,0.0,369.0,364.0,337.0,86.0,30.0,15.0,0.0
582,BI,2002,2791.0,0.0,0.0,310.0,470.0,520.0,270.0,97.0,52.0,0.0,0.0,0.0,243.0,242.0,324.0,152.0,24.0,23.0,0.0
585,BI,2005,3262.0,0.0,0.0,352.0,591.0,525.0,372.0,111.0,55.0,0.0,0.0,0.0,298.0,399.0,288.0,122.0,36.0,33.0,0.0
586,BI,2006,3119.0,0.0,0.0,347.0,600.0,488.0,320.0,114.0,64.0,0.0,0.0,0.0,296.0,367.0,242.0,140.0,56.0,14.0,0.0
587,BI,2007,3595.0,0.0,0.0,425.0,637.0,542.0,372.0,177.0,88.0,0.0,0.0,0.0,360.0,392.0,276.0,140.0,67.0,38.0,0.0
588,BI,2008,3610.0,0.0,0.0,430.0,684.0,526.0,459.0,175.0,80.0,0.0,0.0,0.0,335.0,340.0,264.0,139.0,72.0,38.0,0.0
604,BJ,1995,1839.0,0.0,0.0,186.0,352.0,306.0,176.0,101.0,92.0,0.0,0.0,0.0,148.0,197.0,118.0,69.0,32.0,22.0,0.0
605,BJ,1996,1868.0,0.0,0.0,215.0,348.0,277.0,166.0,102.0,77.0,0.0,0.0,0.0,169.0,218.0,136.0,46.0,42.0,21.0,0.0
607,BJ,1998,1988.0,0.0,0.0,233.0,367.0,251.0,205.0,113.0,71.0,0.0,0.0,0.0,189.0,242.0,159.0,65.0,39.0,19.0,0.0
609,BJ,2000,2286.0,0.0,0.0,277.0,428.0,327.0,213.0,103.0,74.0,0.0,0.0,0.0,239.0,275.0,149.0,76.0,45.0,25.0,0.0
613,BJ,2004,2582.0,0.0,0.0,308.0,529.0,344.0,229.0,125.0,82.0,0.0,0.0,0.0,263.0,354.0,147.0,73.0,45.0,24.0,0.0
614,BJ,2005,2739.0,0.0,0.0,306.0,595.0,396.0,270.0,135.0,87.0,0.0,0.0,0.0,249.0,331.0,145.0,89.0,51.0,39.0,0.0
615,BJ,2006,2943.0,0.0,0.0,298.0,624.0,465.0,247.0,124.0,106.0,0.0,0.0,0.0,310.0,371.0,158.0,111.0,38.0,41.0,0.0
617,BJ,2008,2966.0,0.0,0.0,333.0,604.0,439.0,284.0,163.0,100.0,0.0,0.0,0.0,245.0,386.0,173.0,99.0,52.0,30.0,0.0
642,BM,2006,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
661,BN,2000,84.0,0.0,0.0,6.0,4.0,15.0,5.0,7.0,15.0,0.0,0.0,0.0,4.0,6.0,9.0,6.0,3.0,4.0,0.0
663,BN,2002,112.0,0.0,0.0,15.0,15.0,7.0,6.0,8.0,14.0,0.0,0.0,0.0,11.0,9.0,8.0,5.0,5.0,7.0,0.0
664,BN,2003,121.0,0.0,0.0,5.0,25.0,17.0,8.0,8.0,9.0,0.0,0.0,0.0,9.0,14.0,11.0,4.0,5.0,6.0,0.0
665,BN,2004,115.0,0.0,0.0,10.0,13.0,12.0,16.0,11.0,10.0,0.0,0.0,0.0,6.0,11.0,12.0,8.0,2.0,4.0,0.0
666,BN,2005,101.0,0.0,0.0,9.0,19.0,19.0,12.0,9.0,0.0,0.0,0.0,0.0,9.0,11.0,8.0,3.0,2.0,0.0,0.0
686,BO,1996,6949.0,0.0,0.0,1359.0,887.0,636.0,525.0,321.0,324.0,0.0,0.0,0.0,841.0,676.0,422.0,244.0,189.0,175.0,0.0
687,BO,1997,6458.0,0.0,0.0,1214.0,792.0,579.0,485.0,334.0,318.0,0.0,0.0,0.0,792.0,548.0,380.0,285.0,192.0,187.0,0.0
689,BO,1999,6673.0,0.0,0.0,1182.0,862.0,527.0,482.0,379.0,400.0,0.0,0.0,0.0,798.0,554.0,352.0,263.0,205.0,222.0,0.0
690,BO,2000,6458.0,0.0,0.0,1182.0,797.0,518.0,466.0,340.0,366.0,0.0,0.0,0.0,831.0,588.0,334.0,254.0,192.0,233.0,0.0
691,BO,2001,6672.0,0.0,0.0,1235.0,761.0,483.0,489.0,359.0,355.0,0.0,0.0,0.0,915.0,664.0,302.0,226.0,194.0,283.0,0.0
692,BO,2002,6829.0,0.0,0.0,1235.0,787.0,492.0,417.0,356.0,386.0,0.0,0.0,0.0,938.0,630.0,358.0,238.0,185.0,295.0,0.0
693,BO,2003,6344.0,0.0,0.0,1164.0,742.0,501.0,438.0,336.0,442.0,0.0,0.0,0.0,811.0,549.0,313.0,224.0,196.0,305.0,0.0
694,BO,2004,6213.0,0.0,0.0,1205.0,750.0,505.0,431.0,319.0,399.0,0.0,0.0,0.0,793.0,555.0,272.0,205.0,186.0,281.0,0.0
695,BO,2005,6278.0,0.0,0.0,1320.0,725.0,439.0,391.0,346.0,415.0,0.0,0.0,0.0,846.0,533.0,276.0,226.0,182.0,262.0,0.0
696,BO,2006,5788.0,0.0,0.0,1147.0,699.0,471.0,390.0,333.0,398.0,0.0,0.0,0.0,764.0,461.0,253.0,177.0,148.0,241.0,0.0
698,BO,2008,6048.0,0.0,0.0,1253.0,734.0,412.0,391.0,363.0,429.0,0.0,0.0,0.0,850.0,482.0,237.0,193.0,178.0,251.0,0.0
722,BR,2004,42881.0,0.0,0.0,5041.0,6321.0,6481.0,5157.0,2716.0,2169.0,0.0,0.0,0.0,3684.0,3763.0,2742.0,1865.0,1041.0,1189.0,0.0
723,BR,2005,42093.0,0.0,0.0,5074.0,6119.0,6128.0,5259.0,2803.0,2140.0,0.0,0.0,0.0,3496.0,3663.0,2626.0,1897.0,1112.0,1104.0,0.0
744,BS,1997,57.0,0.0,0.0,2.0,14.0,11.0,5.0,3.0,2.0,0.0,0.0,0.0,2.0,5.0,7.0,4.0,0.0,2.0,0.0
747,BS,2000,56.0,0.0,0.0,2.0,7.0,9.0,4.0,3.0,2.0,0.0,0.0,0.0,5.0,7.0,8.0,2.0,3.0,1.0,0.0
753,BS,2007,32.0,0.0,0.0,3.0,3.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0
754,BS,2008,31.0,0.0,0.0,2.0,6.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0
774,BT,1999,315.0,0.0,0.0,27.0,42.0,31.0,29.0,22.0,14.0,0.0,0.0,0.0,33.0,34.0,23.0,18.0,14.0,9.0,0.0
776,BT,2001,359.0,0.0,0.0,51.0,50.0,37.0,32.0,10.0,16.0,0.0,0.0,0.0,58.0,45.0,20.0,12.0,11.0,8.0,0.0
777,BT,2002,364.0,0.0,0.0,54.0,51.0,32.0,26.0,22.0,19.0,0.0,0.0,0.0,54.0,38.0,22.0,20.0,5.0,10.0,0.0
778,BT,2003,360.0,0.0,0.0,62.0,50.0,20.0,25.0,20.0,13.0,0.0,0.0,0.0,57.0,39.0,17.0,13.0,15.0,6.0,0.0
779,BT,2004,356.0,0.0,0.0,54.0,52.0,28.0,27.0,18.0,23.0,0.0,0.0,0.0,54.0,35.0,33.0,10.0,8.0,5.0,0.0
780,BT,2005,308.0,0.0,0.0,47.0,58.0,26.0,23.0,14.0,12.0,0.0,0.0,0.0,45.0,38.0,13.0,11.0,9.0,2.0,0.0
781,BT,2006,312.0,0.0,0.0,65.0,55.0,22.0,20.0,12.0,11.0,0.0,0.0,0.0,61.0,27.0,10.0,9.0,6.0,9.0,0.0
782,BT,2007,328.0,0.0,0.0,60.0,44.0,29.0,26.0,17.0,13.0,0.0,0.0,0.0,59.0,28.0,21.0,10.0,10.0,6.0,0.0
807,BW,2003,3050.0,0.0,0.0,203.0,552.0,446.0,244.0,136.0,78.0,0.0,0.0,0.0,338.0,524.0,276.0,104.0,52.0,43.0,0.0
809,BW,2005,3170.0,0.0,0.0,260.0,563.0,506.0,272.0,135.0,97.0,0.0,0.0,0.0,321.0,491.0,253.0,97.0,55.0,48.0,0.0
810,BW,2006,3252.0,0.0,0.0,262.0,577.0,490.0,289.0,122.0,104.0,0.0,0.0,0.0,326.0,507.0,259.0,133.0,55.0,38.0,0.0
811,BW,2007,3002.0,0.0,0.0,251.0,535.0,442.0,263.0,120.0,82.0,0.0,0.0,0.0,347.0,430.0,254.0,123.0,47.0,37.0,0.0
836,BY,2003,1018.0,0.0,0.0,67.0,134.0,243.0,226.0,96.0,60.0,0.0,0.0,0.0,18.0,39.0,43.0,26.0,21.0,45.0,0.0
837,BY,2004,1109.0,0.0,0.0,84.0,170.0,260.0,235.0,83.0,56.0,0.0,0.0,0.0,31.0,38.0,38.0,35.0,11.0,67.0,0.0
838,BY,2005,1235.0,0.0,0.0,71.0,180.0,273.0,287.0,118.0,62.0,0.0,0.0,0.0,25.0,53.0,50.0,43.0,11.0,62.0,0.0
840,BY,2007,1051.0,0.0,0.0,57.0,142.0,205.0,244.0,110.0,56.0,0.0,0.0,0.0,28.0,58.0,41.0,35.0,17.0,58.0,0.0
841,BY,2008,1060.0,0.0,0.0,44.0,149.0,207.0,261.0,106.0,69.0,0.0,0.0,0.0,26.0,43.0,36.0,34.0,20.0,65.0,0.0
862,BZ,2000,44.0,0.0,0.0,5.0,7.0,2.0,6.0,3.0,5.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,4.0,0.0
863,BZ,2001,53.0,0.0,0.0,0.0,5.0,9.0,7.0,9.0,11.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0,2.0,0.0
864,BZ,2002,71.0,0.0,0.0,7.0,5.0,7.0,11.0,4.0,4.0,0.0,0.0,0.0,5.0,6.0,3.0,4.0,4.0,4.0,0.0
865,BZ,2003,62.0,0.0,0.0,4.0,8.0,10.0,3.0,2.0,8.0,0.0,0.0,0.0,6.0,3.0,3.0,2.0,5.0,5.0,0.0
866,BZ,2004,34.0,0.0,0.0,4.0,6.0,8.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
